longitude,latitude,name,poi_type,concourse
-84.439033,33.6375916,A1,gate,A
-84.4393355,33.637749,A2,gate,A
-84.4390335,33.6379332,A3,gate,A
-84.4393433,33.6382532,A4,gate,A
-84.4390341,33.6382586,A5,gate,A
-84.4393492,33.6386307,A6,gate,A
-84.4390346,33.6385894,A7,gate,A
-84.43932,33.638845,A8,gate,A
-84.4390352,33.638969,A9,gate,A
-84.4393589,33.6392544,A10,gate,A
-84.439036,33.639495,A11,gate,A
-84.4393659,33.6397045,A12,gate,A
-84.439032,33.639763,A13,gate,A
-84.439327,33.639968,A14,gate,A
-84.4390369,33.6400969,A15,gate,A
-84.4393752,33.6403064,A16,gate,A
-84.4390374,33.6404385,A17,gate,A
-84.4393386,33.6406961,A18,gate,A
-84.4390669,33.6410111,A19,gate,A
-84.4393115,33.6413231,A20,gate,A
-84.439027,33.641414,A21,gate,A
-84.439317,33.641644,A22,gate,A
-84.4390453,33.6415337,A23,gate,A
-84.4393144,33.6419754,A24,gate,A
-84.4390739,33.6420736,A25,gate,A
-84.4393133,33.6422614,A26,gate,A
-84.4390488,33.6425261,A27,gate,A
-84.4393285,33.6428077,A28,gate,A
-84.4390501,33.6428894,A29,gate,A
-84.4393225,33.6430897,A30,gate,A
-84.4390515,33.6432635,A31,gate,A
-84.4393084,33.6434347,A32,gate,A
-84.4390703,33.6435921,A33,gate,A
-84.4393109,33.6437909,A34,gate,A
-84.4357438,33.6375684,B1,gate,B
-84.4360545,33.6377289,B2,gate,B
-84.4357442,33.6378178,B3,gate,B
-84.4360544,33.6380239,B4,gate,B
-84.435745,33.6382083,B5,gate,B
-84.4360541,33.6384686,B6,gate,B
-84.4357456,33.6385608,B7,gate,B
-84.436027,33.638719,B8,gate,B
-84.4357462,33.638897,B9,gate,B
-84.4360537,33.639244,B10,gate,B
-84.4357471,33.6393688,B11,gate,B
-84.4360536,33.6394718,B12,gate,B
-84.4357476,33.639667,B13,gate,B
-84.4360535,33.6398026,B14,gate,B
-84.435746,33.640036,B15,gate,B
-84.4360533,33.640193,B16,gate,B
-84.4357488,33.6402906,B17,gate,B
-84.4360531,33.6405351,B18,gate,B
-84.4357448,33.6408431,B19,gate,B
-84.4360497,33.6412071,B20,gate,B
-84.4357449,33.6411203,B21,gate,B
-84.4360499,33.6413752,B22,gate,B
-84.435745,33.6413155,B23,gate,B
-84.4360503,33.6419012,B24,gate,B
-84.4357452,33.6418578,B25,gate,B
-84.4360506,33.6422103,B26,gate,B
-84.4357454,33.6422645,B27,gate,B
-84.4357456,33.6427525,B29,gate,B
-84.4360511,33.6427634,B30,gate,B
-84.4357458,33.6431429,B31,gate,B
-84.4360515,33.6432297,B32,gate,B
-84.435746,33.6435442,B33,gate,B
-84.4360519,33.6436743,B34,gate,B
-84.4360002,33.6438073,B36,gate,B
-84.432474,33.637776,C1,gate,C
-84.4327573,33.6377748,C2,gate,C
-84.4324583,33.6377789,C3,gate,C
-84.4327563,33.6381396,C4,gate,C
-84.4324586,33.6381471,C5,gate,C
-84.4327554,33.638491,C6,gate,C
-84.4324589,33.6384999,C7,gate,C
-84.432755,33.6386562,C8,gate,C
-84.4324592,33.6388199,C9,gate,C
-84.4327545,33.6388616,C10,gate,C
-84.4324593,33.6390259,C11,gate,C
-84.4327536,33.6392011,C12,gate,C
-84.4324595,33.639251,C13,gate,C
-84.4327524,33.6396432,C14,gate,C
-84.4324598,33.6395438,C15,gate,C
-84.4327516,33.6399648,C16,gate,C
-84.43246,33.6398719,C17,gate,C
-84.4327512,33.6401242,C18,gate,C
-84.4324603,33.6402216,C19,gate,C
-84.4327505,33.64036,C20,gate,C
-84.4324605,33.6403789,C21,gate,C
-84.4327496,33.6407125,C22,gate,C
-84.4328404,33.64135,C30,gate,C
-84.4324591,33.6410226,C31,gate,C
-84.4327609,33.6415122,C32,gate,C
-84.4324711,33.6411444,C33,gate,C
-84.4327607,33.6416152,C34,gate,C
